Sentence #,Word,Tag
Sentence: 1,Thousands,
,of,
,demonstrators,
,have,
,marched,
,through,
,London,B-ge
,to,
,protest,
,the,
,war,
,in,
,Iraq,B-ge
,and,
,demand,
,the,
,withdrawal,
,of,
,British,B-gpe
,troops,
,from,
,that,
,country,
,.,
Sentence: 2,Families,
,of,
,soldiers,
,killed,
,in,
,the,
,conflict,
,joined,
,the,
,protesters,
,who,
,carried,
,banners,
,with,
,such,
,slogans,
,as,
,"""",
,Bush,B-per
,Number,
,One,
,Terrorist,
,"""",
,and,
,"""",
,Stop,
,the,
,Bombings,
,.,
,"""",
Sentence: 3,They,
,marched,
,from,
,the,
,Houses,
,of,
,Parliament,
,to,
,a,
,rally,
,in,
,Hyde,B-ge
,Park,I-ge
,.,
Sentence: 4,Police,
,put,
,the,
,number,
,of,
,marchers,
,at,
,10000,
,while,
,organizers,
,claimed,
,it,
,was,
,"1,00,000",
,.,
Sentence: 5,The,
,protest,
,comes,
,on,
,the,
,eve,
,of,
,the,
,annual,
,conference,
,of,
,Britain,B-ge
,'s,
,ruling,
,Labor,B-rg
,Party,I-rg
,in,
,the,
,southern,
,English,B-gpe
,seaside,
,resort,
,of,
,Brighton,B-ge
,.,
Sentence: 6,The,
,party,
,is,
,divided,
,over,
,Britain,B-gpe
,'s,
,participation,
,in,
,the,
,Iraq,B-ge
,conflict,
,and,
,the,
,continued,
,deployment,
,of,
,8500,
,British,B-gpe
,troops,
,in,
,that,
,country,
,.,
Sentence: 7,The,
,London,B-ge
,march,
,came,
,ahead,
,of,
,anti-war,
,protests,
,today,
,in,
,other,
,cities,
,",",
,including,
,Rome,B-ge
,",",
,Paris,B-ge
,",",
,and,
,Madrid,B-ge
,.,
Sentence: 8,The,
,International,B-rg
,Atomic,I-rg
,Energy,I-rg
,Agency,I-rg
,is,
,to,
,hold,
,second,
,day,
,of,
,talks,
,in,
,Vienna,B-ge
,Wednesday,B-tim
,on,
,how,
,to,
,respond,
,to,
,Iran,B-gpe
,'s,
,resumption,
,of,
,low-level,
,uranium,
,conversion,
,.,
Sentence: 9,Iran,B-gpe
,this,
,week,
,restarted,
,parts,
,of,
,the,
,conversion,
,process,
,at,
,its,
,Isfahan,B-ge
,nuclear,
,plant,
,.,
Sentence: 10,Iranian,B-gpe
,officials,
,say,
,they,
,expect,
,to,
,get,
,access,
,to,
,sealed,
,sensitive,
,parts,
,of,
,the,
,plant,
,Wednesday,B-tim
,",",
,after,
,an,
,IAEA,B-rg
,surveillance,
,system,
,begins,
,functioning,
,.,
Sentence: 11,The,
,step,
,will,
,allow,
,the,
,facility,
,to,
,operate,
,at,
,full,
,capacity,
,.,
Sentence: 12,The,
,European,B-rg
,Union,I-rg
,",",
,with,
,U.S.,B-gpe
,backing,
,",",
,has,
,threatened,
,to,
,refer,
,Iran,B-gpe
,to,
